station,address,latitude,longitude,available_bikes,free_slots
0,Rua Desembargador João Firmino - Montese,-3.763597231114326, -38.55555534190326,0,0
30,R. Barbosa de Freitas - Aldeota,-3.737536981929198, -38.49766756159454, 5, 11
29,Av. Antônio Sales - Dionísio Torres,-3.745570571953943, -38.50181947508717,11,5
26,R. Visc. de Mauá - Aldeota,-3.7424240009234686, -38.50159904810182,5,7
28,Av. Antônio Sales - Joaquim Távora,-3.7426074771484035, -38.5094240904303,8,13
71,R. Cel. Linhares - Dionísio Torres,-3.7466400489774556, -38.49737090392286,2,10
75,R. Vicente Linhares - Aldeota,-3.743546313025088, -38.495489632758705,5,7
61,Av. Padre Antônio Tomás - Cocó,-3.7437596893059166, -38.485735432758865,4,17
63,Av. Santos Dumont - Papicu,-3.740707424662056, -38.483403941383706,5,7
62,R. Professor Otávio Lobo - Cocó,-3.7457734542657115, -38.47942640392298,2,10
64,Av. Santos Dumont - Cocó,-3.7426754132349425, -38.47851121136072,5,7
65,R. Almeida Prado - Papicu,-3.745295695562391, -38.47610874625142,7,7
66,Av. dos Flamboyants - Cidade 2000,-3.747650872457869, -38.47463928470111,7,7
69,R. Des. Lauro Nogueira - Papicu,-3.74141564702494, -38.473197432758816,3,13
68,R. André Dall'Olio - Papicu,-3.740371812485098, -38.476391432758824,0,12
4,R. Cel. Jucá - Aldeota,-3.738595494177094, -38.49159913275872,3,9
5,Av. Dom Luís - Aldeota,-3.735629611679356, -38.488795875087426,8,8
6,Av. Senador Virgílio Távora - Dionísio Torres,-3.735786617742597, -38.49274861741591,5,3
3,Av. Santos Dumont - Aldeota,-3.736161735898531, -38.49666211741602,13,3
7,Praça Portugal - Aldeota,-3.7332905052154026, -38.4973142615946,4,12
27,R. Barbosa de Freitas - Aldeota,-3.738372906140471, -38.49816600392295,8,4
25,R. Torres Câmara - Aldeota,-3.737296293916856, -38.50092168900415,7,5
24,Av. Rui Barbosa - Aldeota,-3.736414775641109, -38.50983350442033,4,12
2,R. José Vilar - Aldeota,-3.7340917114182806, -38.50416213275876,6,10
8,R. Joaquim Nabuco - Meireles,-3.7322485989464527, -38.50056471926592,9,3
10,R. José Vilar - Meireles,-3.730110292426291, -38.50274185974453,5,11
11,R. Canuto de Aguiar - Meireles,-3.7302777168749754, -38.496057290430265,0,12
12,R. Ana Bilhar - Meireles,-3.7306926949913346, -38.49101289043018,6,10
15,Av. Beira Mar - Meireles,-3.725785073061982, -38.49563849043052,20,8
202,Rua Tereza Hinko - Mucuripe,-3.7250259975464166, -38.484451975087495,9,7
200,Mucuripe,-3.721697515526226, -38.48032523275886,2,18
221,Av. Beira Mar - Meireles,-3.7252285005921024, -38.49951823189287,10,11
9,R Deputado Moreira da Rocha,-3.726723547061083, -38.506353162018485,2,10
14,Av. Historiador Raimundo Girão - Meireles,-3.7225953858380927, -38.50726199568119,16,4
1,Av. Santos Dumont - Manuel Dias Branco,-3.732048386743354, -38.51021151791426,17,3
203,R. Ildefonso Albano - Joaquim Távora,-3.737825712051536, -38.514674489078935,9,3
23, UNIMED - Avenida Santos Dumont / Esquina Rua João Cordeiro,-3.7306005925265135, -38.514890704420445,12,0
22,R. João Cordeiro - Praia de Iracema,-3.725928197720317, -38.513485462090976,7,5
21,Av. Monsenhor Tabosa - Centro,-3.723738603479394, -38.51479678907926,4,8
13,R. João Cordeiro - Aldeota,-3.720237502844531, -38.511530375585025,17,3
60,R. Henrique Rabêlo - Joaquim Távora,-3.7396183183459923, -38.52131318907888,3,9
209,Av. Heráclito Graça - Centro,-3.734319629619934, -38.52206753325572,7,5
20,R. Dragão do Mar - Centro,-3.72159668446394, -38.519616062091,1,19
115,Av. Alberto Nepomuceno - Centro,-3.722114778374372, -38.52445600442054,10,6
17,R. Conde d'Eu - Centro,-3.725547328453221, -38.52563886209114,7,5
18,Praça do Ferreira - R. Liberato Barroso - Centro,-3.72702471021908, -38.526988504420274,1,11
19,R. Barão de Aratanha - Centro,-3.7330881933510147, -38.526401204328,5,7
59,Av. Aguanambi - José Bonifacio,-3.7393546817803296, -38.52491648251795,2,10
77,R. Barão do Rio Branco - Panamericano,-3.7358259996400562, -38.531257004420475,3,13
35, Praça da Bandeira - R. Meton de Alencar - Centro,-3.7329238051478657, -38.53238943325574,9,3
16,Praça do Carmo - Centro,-3.731978892810674, -38.52950360442042,3,11
113,R. Gen. Sampaio - Centro,-3.727471891881879, -38.53106389092637,6,8
114,R. Gen. Sampaio - Centro,-3.7219997845517505, -38.52941549092635,3,13
